user_id,age,subscription_plan,monthly_watch_time_mins,country,favorite_genre,last_login_date,customer_support_tickets
10000,39,Estandar,805.8,Brasil,Crimen,2025-03-04,5
10001,37,Estandar,1173.4,Colombia,Crimen,2019-04-02,2
10002,28,Basico,401.0,Colombia,Crimen,2018-04-13,0
10003,43,Basico,62.4,Uruguay,Thriller,2021-01-31,0
10004,51,Basico,477.8,Peru,Thriller,2020-09-30,1
10005,20,Basico,670.2,Uruguay,Drama,2020-07-03,2
10006,37,Basico,346.6,Peru,Thriller,2019-07-26,1
10007,31,Estandar,974.6,Chile,Accion,2019-02-24,1
10008,36,Premium,1432.2,Colombia,Romance,2025-08-03,2
10009,37,Estandar,1375.4,Argentina,Thriller,2024-02-12,1
10010,23,Basico,385.7,Argentina,Drama,2018-12-23,0
10011,46,Estandar,1148.0,Brasil,Comedia,2024-08-15,0
10012,15,Basico,901.9,Peru,Accion,2022-09-25,0
10013,43,Premium,1584.0,Argentina,Documental,2018-05-11,0
10014,45,Estandar,1104.6,Peru,Accion,2018-05-03,1
10015,29,Basico,530.5,Peru,Romance,2019-01-19,1
10016,24,Estandar,985.7,Peru,Documental,2020-06-14,0
10017,35,Estandar,1044.6,Uruguay,Comedia,2020-08-10,1
10018,32,Basico,244.3,Uruguay,Accion,2023-09-01,1
10019,30,Premium,874.3,Argentina,Drama,2024-10-01,1
10020,17,Basico,223.9,Mexico,Drama,2018-04-19,1
10021,23,Basico,288.4,Argentina,Thriller,2024-04-17,0
10022,33,Basico,14.5,Argentina,Drama,2020-03-25,0
10023,33,Basico,660.4,Argentina,Drama,2025-04-15,0
10024,33,Premium,776.0,Peru,Thriller,2025-11-12,0
10025,18,Premium,3628.4,Brasil,Thriller,2024-02-11,1
10026,40,Basico,723.9,Mexico,Accion,2022-09-15,2
10027,42,Premium,845.5,Uruguay,Romance,2020-06-21,0
10028,22,Premium,1168.3,Argentina,Documental,2023-01-14,0
10029,29,Estandar,1028.0,Chile,Drama,2024-08-10,1
10030,46,Basico,598.8,Argentina,Drama,2021-02-13,3
10031,44,Basico,1122.4,Argentina,Documental,2018-01-27,1
10032,32,Basico,0.0,Brasil,Drama,2019-10-16,0
10033,33,Basico,427.3,Peru,Documental,2025-10-30,1
10034,31,Basico,308.8,Colombia,Accion,2022-09-28,1
10035,37,Estandar,1114.7,Colombia,Drama,2021-10-25,1
10036,41,Basico,275.7,Mexico,Drama,2021-02-12,0
10037,33,Basico,611.0,Colombia,Documental,2019-09-29,2
10038,59,Premium,1119.3,Uruguay,Romance,2020-05-31,0
10039,26,Estandar,589.7,Chile,Drama,2021-10-10,0
10040,20,Basico,994.7,Chile,Comedia,2019-02-23,0
10041,39,Basico,1119.3,Chile,Documental,2019-01-15,0
10042,25,Basico,612.5,Uruguay,Crimen,2022-04-06,0
10043,32,Basico,330.1,Mexico,Romance,2019-02-01,0
10044,15,Estandar,1490.1,Mexico,Drama,2022-01-10,0
10045,29,Basico,740.6,Peru,Accion,2021-11-09,1
10046,27,Premium,1398.6,Peru,Thriller,2024-10-08,1
10047,53,Basico,313.4,Brasil,Comedia,2020-12-19,1
10048,26,Basico,822.8,Peru,Comedia,2018-06-27,0
10049,33,Basico,1081.6,Argentina,Romance,2023-02-25,0
10050,55,Estandar,979.6,Brasil,Drama,2024-01-06,2
10051,18,Basico,1140.0,Mexico,Crimen,2019-05-27,0
10052,25,Basico,465.7,Colombia,Accion,2022-03-31,1
10053,27,Estandar,1201.0,Brasil,Romance,2018-11-19,0
10054,34,Estandar,1091.9,Brasil,Thriller,2024-03-11,4
10055,41,Estandar,1180.4,Argentina,Documental,2021-04-15,2
10056,40,Basico,889.4,Brasil,Crimen,2025-01-18,0
10057,28,Estandar,814.3,Peru,Drama,2024-12-08,1
10058,20,Basico,960.2,Peru,Thriller,2022-02-14,1
10059,39,Estandar,824.8,Brasil,Drama,2024-06-22,1
10060,26,Basico,672.5,Peru,Accion,2020-02-27,1
10061,47,Basico,824.5,Colombia,Drama,2025-11-25,1
10062,15,Basico,280.3,Uruguay,Thriller,2018-10-12,2
10063,35,Estandar,935.6,Chile,Romance,2018-07-07,0
10064,36,Estandar,592.5,Brasil,Thriller,2025-01-06,2
10065,37,Estandar,1386.1,Peru,Thriller,2020-07-22,3
10066,16,Basico,427.3,Mexico,Accion,2021-03-31,0
10067,15,Estandar,875.3,Brasil,Drama,2018-11-23,1
10068,36,Basico,814.4,Uruguay,Romance,2020-08-11,1
10069,21,Basico,816.2,Colombia,Documental,2022-02-14,0
10070,51,Estandar,237.2,Brasil,Romance,2022-04-06,2
10071,32,Basico,678.5,Argentina,Accion,2021-02-12,0
10072,13,Basico,741.7,Brasil,Documental,2023-02-01,1
10073,28,Basico,619.5,Argentina,Accion,2025-02-16,0
10074,51,Premium,925.5,Chile,Accion,2022-02-03,1
10075,23,Estandar,658.2,Chile,Thriller,2019-10-29,1
10076,38,Basico,1150.4,Uruguay,Crimen,2022-02-14,1
10077,18,Premium,3628.4,Chile,Documental,2021-12-26,0
10078,33,Premium,1059.7,Peru,Drama,2020-05-08,0
10079,26,Premium,1168.3,Argentina,Crimen,2025-07-08,0
